time,A,B,C,D
33.5,108.9755334955,108.6601285578,115.1630062786,112.1253291736
34.0,108.8990753657,108.6033943829,115.0744604046,112.1241466415
34.5,108.9611975962,108.4509212877,115.1896913365,111.9195685873
35.0,108.6541704187,108.2889924967,115.2297189234,112.0271790089
35.5,108.5801016054,108.0927868084,114.9847015735,112.2282094668
36.0,108.5239526663,108.0892409225,114.9094982285,111.8001328446
36.5,108.3925402557,108.0218690897,114.5407592464,111.5411583135
37.0,108.3698417484,107.8008421998,114.7251287375,111.7043477441
37.5,108.0580359378,107.6259118271,114.6960177652,111.5234203319
38.0,107.9708258834,107.3386950665,114.4619170299,111.4264526993
38.5,108.089097053,107.3847915836,114.4813243447,111.187581214
39.0,107.8776425377,107.4592551882,114.3952043851,110.8836704629
39.5,107.6303482741,107.3434229144,114.3842877705,111.0350345724
40.0,107.6853025549,107.254775766,114.3782229846,111.1414624619
40.5,107.4176991005,107.0372947621,114.3770100275,111.2135969203
41.0,107.3496035787,107.0597520397,114.2666309243,111.0847009208
41.5,107.6351269072,106.8446349597,114.230242209,110.8872180592
42.0,107.3519928952,106.5716017428,114.21689968,110.917963894
42.5,106.9840381455,106.6046966781,114.0616411613,110.9392494719
43.0,106.9422251057,106.4144007997,113.8214756401,110.6507116381
43.5,106.8801028753,106.3162979555,113.8663550556,110.3456183549
44.0,106.9028013826,106.2737473243,113.3920887992,110.4295781344
44.5,106.5169267586,106.0929071417,113.3278020688,110.0251521543
45.0,106.6196673706,106.0290811949,113.4333293432,110.0050491086
45.5,106.2720218116,105.9593454382,113.643170935,110.1209372549
46.0,106.5886062553,105.6674008296,113.6261895345,109.8962561549
46.5,106.3508692579,105.5787536813,113.4879124162,109.987311127
47.0,105.9422961267,105.4168248903,113.2356173233,109.7035034217
47.5,105.9506587347,105.5657520995,113.4830605875,109.8560500633
48.0,105.8455288062,105.3612726773,113.4539496152,109.7768204122
48.5,105.754734777,105.215891354,113.356913041,109.6183611101
49.0,105.9243762526,105.1047869281,113.0039425023,109.6692099906
49.5,105.7535401188,105.0161397798,112.7916749962,109.5663296974
50.0,105.479963373,104.8766682664,112.7237493943,109.1926495521
50.5,105.595845226,104.7750195363,112.9238873286,109.1843718274
51.0,105.2589515915,104.6745527681,112.9105447996,109.0590234242
51.5,105.1299284974,104.5835416958,112.9457205578,109.1394356074
52.0,105.3270471134,104.4948945475,112.7649899383,109.1051421763
52.5,105.2159438935,104.3223280987,112.5600001753,109.0803090021
53.0,105.1167872564,104.094209437,112.5842593188,108.9514130026
53.5,105.0642222921,104.0847537411,112.5345280745,108.7669379942
54.0,105.0869207994,103.9783771631,112.5624260896,108.9384051495
54.5,104.6580384775,103.8826382429,112.3016402964,108.8284296636
55.0,104.7619737477,103.6557015431,112.4872227446,108.6037485636
55.5,104.5075115344,103.5966034442,112.3149828254,108.4866778852
56.0,104.660427794,103.607241102,112.0845209616,108.2572666567
56.5,104.3163662099,103.4807711704,112.0153824025,108.2974727483
57.0,104.4238854549,103.4098534517,112.0141694453,108.1106326756
57.5,104.1443354178,103.2751097862,111.7873464531,108.1555688956
58.0,104.1873431158,103.1072711854,111.7982630677,108.0337680888
58.5,104.0248695899,102.9347047366,111.616319491,108.1082676114
59.0,103.9484114601,102.7645022118,111.7097171937,108.0727916483
59.5,103.8480601647,102.8259642346,111.8370776974,107.9107847498
60.0,103.625853725,102.7113139227,111.6138935767,107.6305246408
60.5,103.6007659011,102.6770370254,111.3894964988,107.5276443477
61.0,103.1491850719,102.3945481127,111.4901719446,107.5583901824
61.5,103.2411737593,102.3649990632,111.3797928414,107.3337090824
62.0,103.205334011,102.1912506524,111.1602475922,107.0144254139
62.5,102.986711546,102.3047190023,111.1093033908,107.0747345513
63.0,102.7597264731,102.2917174206,111.1032386049,106.9789494507
63.5,102.7250813831,102.1014215421,111.0401648316,106.9079975244
64.0,102.7011882175,102.0092285078,111.3943483275,106.9304656344
64.5,102.1767332333,101.6510940285,111.43195,106.8606962402
65.0,102.291420428,101.6487301046,111.0583591893,106.7992045707
65.5,102.1743439167,101.518714287,110.912804328,106.5579680212
66.0,101.7992212173,101.4702538459,110.8885451844,106.4468100033
66.5,101.8876259299,101.4359769485,110.8121288822,106.678586296
67.0,101.7490455696,101.3839706215,110.6508055776,106.465730517
67.5,101.7323203537,101.3296003705,110.5828799756,106.3332869212
68.0,101.5829880689,101.2362253743,110.1183173766,106.1665498943
68.5,101.2986593987,101.0861162031,110.3827420413,105.8862897853
69.0,101.501751306,100.9501905756,110.3791031698,106.0932329038
69.5,101.2042813947,100.7941715945,110.2529556233,105.9146705558
70.0,101.1302125814,100.5991478681,110.4797786155,105.7621239142
70.5,101.0633117178,100.3532997767,110.4118530136,105.6888069237
71.0,101.2329531934,100.1535482024,110.4264084997,105.6828942632
71.5,100.7527005655,100.1606399743,110.3948716131,105.6935370521
72.0,100.6738531191,100.0909042176,110.3548440262,105.5599109242
72.5,100.4874864277,99.9608884,110.2444649231,105.6663388137
73.0,100.2927571283,99.856875746,110.1631967922,105.3068490536
73.5,100.3692152581,99.6902191071,110.0613083892,105.1838657147
74.0,100.0621880806,99.6039358827,109.7423006515,104.8456615325
74.5,99.9928979004,99.5129248104,109.7144026364,104.7676144136
75.0,99.9606421269,99.4467349396,109.8745129839,104.6694642488
75.5,99.9236077203,99.3687254491,109.6052364904,104.7415987072
76.0,99.8244510832,99.0625972968,109.6173660622,104.8917802846
76.5,99.690649356,98.9361273651,109.6355604199,104.6056075151
77.0,99.7420196619,98.835660597,109.636773377,104.7061227441
77.5,99.7706914606,98.8533900267,109.7629209235,104.7191305972
78.0,99.6751187984,98.8013836997,109.6695232208,104.5618538272
78.5,99.5843247692,98.5898125056,108.9429618714,104.3832914793
79.0,99.248625793,98.5933583915,108.8374345969,104.2402050945
79.5,99.364507646,98.4172460568,108.9490266573,104.2744985256
80.0,99.1960608287,98.2328599883,108.803471796,103.8724376097
80.5,98.8878389929,98.1300292962,108.9320452568,103.7754699771
81.0,98.7779304313,98.1099359425,108.8398605113,103.8736201419
81.5,98.5951477147,97.9539169615,108.7755737809,103.706883115
82.0,98.7468693161,97.9491891135,108.8471382544,103.3533060155
82.5,98.5557239915,97.7033410221,109.1394609342,103.7198909681
