"","Time..s.","Fo2"
"187",10449.95,0.20945985565
"188",10469.95,0.20939294765
"189",10489.95,0.20939989675
"190",10509.95,0.20934053385
"191",10529.95,0.2094052805
"192",10549.95,0.2094236592
"193",10569.95,0.20939848575
"194",10589.95,0.2094052887
"195",10609.95,0.2094017404
"196",10629.95,0.2094255576
"197",10649.95,0.20942546905
"198",10669.95,0.20939785265
"199",10689.95,0.209396013
"200",10709.95,0.20943256865
"201",10729.95,0.2094585767
"202",10749.95,0.20943127765
"203",10769.95,0.209424827
"204",10789.95,0.20935339985
"205",10809.95,0.20939208165
"206",10829.95,0.20935423505
"207",10849.95,0.20938155305
"208",10869.95,0.20937364555
"209",10889.95,0.2094106689
"210",10909.95,0.20942400315
"211",10929.95,0.20944544265
"212",10949.95,0.20934009685
"213",10969.95,0.20930541135
"214",10989.95,0.20936605855
"215",11009.95,0.20938202095
"216",11029.95,0.2094004455
"217",11049.95,0.20943247585
"218",11069.95,0.2094492886
"219",11089.95,0.2094617495
"220",11109.95,0.2094742534
"221",11129.95,0.2094800585
"222",11149.95,0.2094195118
"223",11169.95,0.2093779392
"224",11189.95,0.2093923753
"225",11209.95,0.20942299125
"226",11229.95,0.2094377281
"227",11249.95,0.2094492772
"228",11269.95,0.2094595892
"229",11289.95,0.2094595273
"230",11309.95,0.20947217045
"231",11329.95,0.20947983075
"232",11349.95,0.2094844494
"233",11369.95,0.20948754915
"234",11389.95,0.2094920055
"235",11409.95,0.2094967678
"236",11429.95,0.2095025032
"237",11449.95,0.2095045752
"238",11469.95,0.20950025715
"239",11489.95,0.2095051159
"240",11509.95,0.2095047062
"241",11529.95,0.2095036007
"242",11549.95,0.2095059775
"243",11569.95,0.20950039285
"244",11589.95,0.20950048125
"245",11609.95,0.209504996
"246",11629.95,0.2095058153
"247",11649.95,0.2095045359
"248",11669.95,0.20929906885
"249",11689.95,0.20934836805
"250",11709.95,0.20931595155
"251",11729.95,0.20928114635
"252",11749.95,0.20929719425
"253",11769.95,0.2093540146
"254",11789.95,0.2093693402
"255",11809.95,0.2093903579
"256",11829.95,0.2093783373
"257",11849.95,0.2094091301
"258",11869.95,0.2094144721
"259",11889.95,0.2094330055
"260",11909.95,0.2094488945
"261",11929.95,0.2094468811
"262",11949.95,0.20942833635
"263",11969.95,0.2093761113
"264",11989.95,0.20940935855
"265",12009.95,0.2093977865
"266",12029.95,0.20940516075
"267",12049.95,0.2094084966
"268",12069.95,0.20941442575
"269",12089.95,0.20939922425
"270",12109.95,0.2093763472
"271",12129.95,0.20935286665
"272",12149.95,0.2093402283
"273",12169.95,0.2093654515
"274",12189.95,0.20934952755
"275",12209.95,0.209362313
"276",12229.95,0.20939714135
"277",12249.95,0.20920296785
"278",12269.95,0.20892253395
"279",12289.95,0.2091010268
"280",12309.95,0.2092087344
"281",12329.95,0.20929811815
"282",12349.95,0.20936290055
"283",12369.95,0.209359387
"284",12389.95,0.209317053
"285",12409.95,0.209399688
"286",12429.95,0.20940915795
"287",12449.95,0.20937092435
"288",12469.95,0.2094168181
"289",12489.95,0.20942922175
"290",12509.95,0.20946288245
"291",12529.95,0.20948139995
"292",12549.95,0.20949720815
"293",12569.95,0.20950743395
"294",12589.95,0.20945525275
"295",12609.95,0.20933835385
"296",12629.95,0.2093707467
"297",12649.95,0.2094119635
"298",12669.95,0.20944145405
"299",12689.95,0.20946020365
"300",12709.95,0.20947515025
"301",12729.95,0.20948296135
"302",12749.95,0.20948897575
"303",12769.95,0.20950047725
"304",12789.95,0.2095068123
"305",12809.95,0.20950352695
"306",12829.95,0.2095097226
"307",12849.95,0.20950858225
"308",12869.95,0.2095055018
"309",12889.95,0.20950356625
"310",12909.95,0.20950823765
"311",12929.95,0.2094861456
"312",12949.95,0.20940520375
"313",12969.95,0.20941591335
"314",12989.95,0.20943336065
"315",13009.95,0.2094406773
"316",13029.95,0.2094557702
"317",13049.95,0.2094652509
"318",13069.95,0.20947754315
"319",13089.95,0.2094840508
"320",13109.95,0.2094918821
"321",13129.95,0.2094914571
"322",13149.95,0.2094949817
"323",13169.95,0.20949680255
"324",13189.95,0.2094973394
"325",13209.95,0.2094924921
"326",13229.95,0.20949628815
"327",13249.95,0.20949611005
"328",13269.95,0.2094991205
"329",13289.95,0.20950298665
"330",13309.95,0.2095036662
"331",13329.95,0.2095076741
"332",13349.95,0.2095122705
"333",13369.95,0.2095135497
"334",13389.95,0.2095115205
"335",13409.95,0.2095100319
"336",13429.95,0.20951325535
"337",13449.95,0.20951365015
"338",13469.95,0.20951288855
"339",13489.95,0.20951125355
"340",13509.95,0.20951300035
"341",13529.95,0.2095117329
"342",13549.95,0.2095125023
"343",13569.95,0.2095140831
"344",13589.95,0.209511631
"345",13609.95,0.20931071825
"346",13629.95,0.20900761945
"347",13649.95,0.209065777
"348",13669.95,0.2090503362
"349",13689.95,0.20899184955
"350",13709.95,0.20875007085
"351",13729.95,0.20892389825
"352",13749.95,0.2090117898
"353",13769.95,0.20908684945
"354",13789.95,0.20913103495
"355",13809.95,0.20917932125
"356",13829.95,0.2092522205
"357",13849.95,0.20931353175
"358",13869.95,0.20935861025
"359",13889.95,0.2089885877
"360",13909.95,0.208875349
"361",13929.95,0.2090570191
"362",13949.95,0.20917064005
"363",13969.95,0.20927272455
"364",13989.95,0.20933896445
"365",14009.95,0.2093892407
"366",14029.95,0.2094269025
"367",14049.95,0.209454031
"368",14069.95,0.20947423795
"369",14089.95,0.2094886045
"370",14109.95,0.20949949605
"371",14129.95,0.20950715635
"372",14149.95,0.20951463885
"373",14169.95,0.2095160841
"374",14189.95,0.2095179863
"375",14209.95,0.2095179054
"376",14229.95,0.20940643675
"377",14249.95,0.20940453885
"378",14269.95,0.2090768081
"379",14289.95,0.2089363011
"380",14309.95,0.20910572665
"381",14329.95,0.2092227648
"382",14349.95,0.2093007081
"383",14369.95,0.2092710473
"384",14389.95,0.209301284
"385",14409.95,0.2093810896
"386",14429.95,0.2094182405
"387",14449.95,0.20944481325
"388",14469.95,0.2094485927
"389",14489.95,0.20947619375
"390",14509.95,0.2094933704
"391",14529.95,0.20950478365
"392",14549.95,0.2095121544
"393",14569.95,0.2093757092
"394",14589.95,0.20941295715
"395",14609.95,0.2094584716
"396",14629.95,0.2094799739
"397",14649.95,0.2094884571
"398",14669.95,0.20949707605
"399",14689.95,0.20950370145
"400",14709.95,0.20950806005
"401",14729.95,0.2095103102
"402",14749.95,0.2095127456
"403",14769.95,0.20950832365
"404",14789.95,0.2094395797
"405",14809.95,0.2093224605
"406",14829.95,0.20938290245
"407",14849.95,0.20944000075
"408",14869.95,0.20948476265
"409",14889.95,0.20952013515
"410",14909.95,0.20954917365
"411",14929.95,0.2095708067
"412",14949.95,0.20958641375
"413",14969.95,0.20960047465
"414",14989.95,0.20961132005
"415",15009.95,0.20962011675
"416",15029.95,0.20962726325
"417",15049.95,0.2096336403
"418",15069.95,0.20963923705
"419",15089.95,0.2096426199
"420",15109.95,0.2096463183
"421",15129.95,0.20964871865
"422",15149.95,0.20965185445
"423",15169.95,0.20965289735
"424",15189.95,0.2096547906
"425",15209.95,0.20965656085
"426",15229.95,0.20965914315
"427",15249.95,0.20966106705
"428",15269.95,0.2096618136
"429",15289.95,0.20966299985
"430",15309.95,0.20966407065
"431",15329.95,0.2096641284
"432",15349.95,0.20966553985
"433",15369.95,0.2096669667
"434",15389.95,0.2096671057
"435",15409.95,0.2096687862
"436",15429.95,0.2096693807
"437",15449.95,0.20966916845
"438",15469.95,0.2096688324
"439",15489.95,0.20966787045
"440",15509.95,0.20966700545
"441",15529.95,0.2096669051
"442",15549.95,0.2096654552
