"","Time","VO2.ml.min"
"1",0.00708333334,-0.17142855044
"2",0.02097222222,0.0831902473
"3",0.03486111112,0.15519998552
"4",0.04875,0.29899593
"5",0.06263888888,0.34591122038
"6",0.07652777778,0.59222374834
"7",0.09041666666,0.81980146542
"8",0.10430555556,1.28170180272
"9",0.11819444444,1.10214574572
"10",0.13208333334,-0.55785042734
"11",0.14597222222,21.4431808783
"12",0.15986111112,45.6306655418
"13",0.17375,57.5161013702
"14",0.18763888888,65.1054180492
"15",0.20152777778,67.8724571462
"16",0.21541666666,70.8087706274
"17",0.22930555556,76.3041820404
"18",0.24319444444,83.7073477626
"19",0.25708333334,84.170230558
"20",0.27097222222,81.076744876
"21",0.28486111112,78.8531240832
"22",0.29875,74.4374541812
"23",0.31263888888,70.2485167312
"24",0.32652777778,66.5586302214
"25",0.34041666666,63.816375909
"26",0.35430555556,61.8855366764
"27",0.36819444444,58.7985732762
"28",0.38208333334,56.5589536512
"29",0.39597222222,54.4623322906
"30",0.40986111112,52.502136903
"31",0.42375,50.8319876452
"32",0.43763888888,49.0088917736
"33",0.45152777778,47.2380545916
"34",0.46541666666,45.3377437262
"35",0.47930555556,44.4811345808
"36",0.49319444444,43.0129596438
"37",0.50708333334,42.620178004
"38",0.52097222222,41.6192019336
"39",0.53486111112,40.5163751036
"40",0.54875,39.7277703604
"41",0.56263888888,39.105569234
"42",0.57652777778,38.510668062
"43",0.59041666666,37.83699514
"44",0.60430555556,36.8205344584
"45",0.61819444444,36.2339638608
"46",0.63208333334,36.4349389594
"47",0.64597222222,36.4405104544
"48",0.65986111112,36.1667424656
"49",0.67375,35.5425747588
"50",0.68763888888,34.8546299728
"51",0.70152777778,34.910993298
"52",0.71541666666,34.8070005254
"53",0.72930555556,34.2567216532
"54",0.74319444444,33.8801197628
"55",0.75708333334,33.7844736944
"56",0.77097222222,33.807369331
"57",0.78486111112,34.0606179362
"58",0.79875,33.6384115482
"59",0.81263888888,33.5167490776
"60",0.82652777778,34.579420798
"61",0.84041666666,34.8510774644
"62",0.85430555556,34.3163397558
"63",0.86819444444,33.8515065474
"64",0.88208333334,33.4626142092
"65",0.89597222222,33.1747371272
"66",0.90986111112,33.1522241232
"67",0.92375,34.195783729
"68",0.93763888888,33.745005791
"69",0.95152777778,33.3320507816
"70",0.96541666666,33.7410741146
"71",0.97930555556,33.8634504834
"72",0.99319444444,33.4121893796
"73",1.00708333334,33.8991443466
"74",1.02097222222,33.759328092
"75",1.03486111112,33.8040153076
"76",1.04875,33.624117968
"77",1.06263888888,33.3847254734
"78",1.07652777778,33.4427606072
"79",1.09041666666,33.4146699928
"80",1.10430555556,33.5817922322
"81",1.11819444444,34.1621275086
"82",1.13208333334,34.27757173
"83",1.14597222222,34.2638376906
"84",1.15986111112,34.239489577
"85",1.17375,34.0007574464
"86",1.18763888888,36.9465773412
"87",1.20152777778,44.0142723544
"88",1.21541666666,54.0065246356
"89",1.22930555556,59.1198277432
"90",1.24319444444,56.656884283
"91",1.25708333334,51.835871559
"92",1.27097222222,47.227554593
"93",1.28486111112,44.1559878774
"94",1.29875,41.6136023704
"95",1.31263888888,38.710866
"96",1.32652777778,36.8742633958
"97",1.34041666666,35.7014985876
"98",1.35430555556,35.0973264126
"99",1.36819444444,34.7596615482
"100",1.38208333334,34.0328019356
"101",1.39597222222,33.7768566488
"102",1.40986111112,33.7496322944
"103",1.42375,33.8761553086
"104",1.43763888888,34.0191080528
"105",1.45152777778,34.316895027
"106",1.46541666666,34.4454613816
"107",1.47930555556,35.3622678596
"108",1.49319444444,35.7256471672
"109",1.50708333334,35.5720199906
"110",1.52097222222,35.3686289774
"111",1.53486111112,34.7380217198
"112",1.54875,33.9698354682
"113",1.56263888888,33.7414991224
"114",1.57652777778,34.425465348
"115",1.59041666666,34.4717638928
"116",1.60430555556,34.5333619572
"117",1.61819444444,34.951706096
"118",1.63208333334,35.5585329834
"119",1.64597222222,37.2304818478
"120",1.65986111112,39.2927612328
"121",1.67375,39.2341994594
"122",1.68763888888,37.5319866058
"123",1.70152777778,36.4541977246
"124",1.71541666666,36.3686886668
"125",1.72930555556,36.7495864246
"126",1.74319444444,37.0648175208
"127",1.75708333334,36.8489853866
"128",1.77097222222,37.503169951
"129",1.78486111112,37.3250340896
"130",1.79875,37.4578369526
"131",1.81263888888,37.695293324
"132",1.82652777778,38.1566250266
"133",1.84041666666,38.5318365672
"134",1.85430555556,38.8590182252
"135",1.86819444444,38.4183382654
"136",1.88208333334,38.1164254626
"137",1.89597222222,37.8103895108
"138",1.90986111112,37.3420136002
"139",1.92375,36.5884803718
"140",1.93763888888,36.179837046
"141",1.95152777778,35.4660435144
"142",1.96541666666,36.4409920912
"143",1.97930555556,37.7497071352
"144",1.99319444444,37.6646443628
"145",2.00708333334,38.0551106628
"146",2.02097222222,40.180198464
"147",2.03486111112,39.313961641
"148",2.04875,38.4889592156
"149",2.06263888888,36.8933335636
"150",2.07652777778,35.969447151
"151",2.09041666666,34.8205753876
"152",2.10430555556,34.2192858688
"153",2.11819444444,33.144116036
"154",2.13208333334,32.8024255906
"155",2.14597222222,33.1730391496
"156",2.15986111112,32.9338311332
"157",2.17375,33.5599634134
"158",2.18763888888,34.0489579362
"159",2.20152777778,34.9807867564
"160",2.21541666666,35.9170498116
"161",2.22930555556,36.2446266208
"162",2.24319444444,36.5751013616
"163",2.25708333334,43.3756325398
"164",2.27097222222,52.3277846148
"165",2.28486111112,61.4254054618
"166",2.29875,66.94291655
"167",2.31263888888,65.3711566614
